epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
57,82143.2,0.49084,0.32447,0.97226,0.98278,0.98129,0.99242,0.93632,0.3069,0.33241,0.81172,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,83570.2,0.49058,0.3235,0.97294,0.98322,0.98142,0.99243,0.93643,0.30644,0.3247,0.81171,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,84997.6,0.48799,0.32164,0.96857,0.98312,0.98129,0.99241,0.93644,0.30568,0.32031,0.81113,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,86427.8,0.48913,0.32166,0.97014,0.98299,0.98118,0.99246,0.93644,0.30539,0.31296,0.81091,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,87857.1,0.4841,0.3221,0.97049,0.98423,0.98005,0.99244,0.93659,0.30503,0.30931,0.81095,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,89284.6,0.48327,0.31626,0.96935,0.98472,0.97956,0.99244,0.93739,0.30455,0.30512,0.81106,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,90715.5,0.48585,0.32063,0.97119,0.98477,0.97944,0.99251,0.93696,0.30378,0.3011,0.8109,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,92143,0.48303,0.31701,0.96518,0.98422,0.97966,0.99253,0.93708,0.30348,0.30057,0.81065,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,93570.9,0.47995,0.31475,0.96492,0.9831,0.98095,0.99255,0.93698,0.30294,0.29948,0.81049,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,94998.9,0.4801,0.31546,0.96641,0.98535,0.97875,0.99259,0.9371,0.30275,0.29701,0.8107,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,96430,0.47868,0.31184,0.96571,0.98345,0.98113,0.99254,0.93704,0.30225,0.29565,0.81071,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,97855,0.48013,0.31447,0.96386,0.98288,0.98154,0.99256,0.93711,0.3017,0.29101,0.81023,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,99281,0.4768,0.31259,0.96392,0.98457,0.97956,0.99257,0.9378,0.3013,0.28668,0.81007,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,100708,0.47301,0.3078,0.96134,0.98325,0.98164,0.99256,0.93787,0.30107,0.28151,0.81002,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,102135,0.47274,0.3095,0.95892,0.98401,0.98152,0.99256,0.93783,0.30063,0.27818,0.80928,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,103563,0.4743,0.31015,0.95625,0.98402,0.98141,0.99252,0.93779,0.3001,0.2759,0.80833,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,104989,0.47174,0.30972,0.95609,0.98414,0.98118,0.99244,0.93778,0.29984,0.27289,0.80767,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,106416,0.4699,0.30838,0.95859,0.98452,0.98129,0.99251,0.93795,0.29951,0.26737,0.80714,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,107852,0.46602,0.30406,0.95544,0.98488,0.98141,0.99254,0.9386,0.29904,0.26167,0.80657,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,109279,0.46533,0.30211,0.95521,0.98526,0.98106,0.99255,0.93801,0.29889,0.25912,0.80632,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,110711,0.46354,0.30175,0.95689,0.9853,0.98094,0.99254,0.93797,0.29832,0.25757,0.80604,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,112142,0.46602,0.30183,0.95573,0.98479,0.98152,0.99256,0.93808,0.29794,0.25698,0.80565,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,113573,0.46118,0.30068,0.95034,0.98494,0.98168,0.99258,0.93888,0.29768,0.25629,0.80515,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,115005,0.46395,0.30044,0.95324,0.9841,0.98256,0.99261,0.93952,0.29763,0.25539,0.80494,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,116439,0.45978,0.29889,0.95542,0.9846,0.9821,0.99262,0.93896,0.29704,0.2531,0.80459,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,117872,0.4594,0.29772,0.95049,0.98517,0.98225,0.99266,0.93889,0.29677,0.24989,0.80415,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,119310,0.4555,0.29558,0.95073,0.98559,0.98222,0.99268,0.93899,0.29634,0.24707,0.80382,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,120748,0.45672,0.29589,0.94982,0.98534,0.98256,0.99271,0.93834,0.29596,0.24623,0.80352,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,122187,0.45102,0.29105,0.94583,0.98484,0.98271,0.99272,0.93846,0.29552,0.2478,0.80293,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,123623,0.45434,0.294,0.94741,0.9854,0.98229,0.99265,0.93928,0.29504,0.24766,0.80243,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,125062,0.45177,0.291,0.94942,0.98469,0.98256,0.99268,0.94006,0.2947,0.24769,0.80235,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,126501,0.44786,0.29034,0.9463,0.98386,0.98349,0.9927,0.94001,0.29444,0.24647,0.80226,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,127936,0.4455,0.28801,0.94258,0.98382,0.98349,0.99269,0.94002,0.29409,0.24678,0.80194,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,129375,0.44297,0.28525,0.94146,0.98348,0.98326,0.99269,0.94014,0.29387,0.24636,0.80167,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,130820,0.44362,0.28668,0.94248,0.98528,0.98144,0.99265,0.94009,0.29354,0.24608,0.80163,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,132260,0.44243,0.28555,0.94435,0.98339,0.98302,0.99263,0.9401,0.29322,0.24742,0.80186,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,133698,0.43978,0.28402,0.94425,0.98511,0.98164,0.99265,0.94016,0.293,0.24937,0.80183,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,135135,0.43746,0.28145,0.94122,0.98482,0.98181,0.99267,0.94029,0.29294,0.25007,0.80155,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
